year,list_position,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,name,duration_ms,release_date,album_type,explicit
2018-09-08,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-09-15,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2018-09-22,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,4.0,In My Feelings,217925,2018-06-29,album,True
2009-07-11,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-07-18,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-07-25,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-08-01,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-08-08,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-08-15,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-08-22,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-08-29,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-09-05,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-09-12,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-09-19,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-09-26,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-10-03,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2009-10-10,1,2H1047e0oMSj10dgp7p2VG,0.744,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.966,4.0,I Gotta Feeling,289133,2009-01-01,album,False
2023-09-16,1,2IGMVunIBsBLtEQyoI1Mu7,0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968,4.0,Paint The Town Red,231750,2023-08-04,single,True
2023-10-07,1,2IGMVunIBsBLtEQyoI1Mu7,0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968,4.0,Paint The Town Red,231750,2023-08-04,single,True
2023-10-14,1,2IGMVunIBsBLtEQyoI1Mu7,0.868,0.538,5.0,-8.603,1.0,0.174,0.269,3.34e-06,0.0901,0.732,99.968,4.0,Paint The Town Red,231750,2023-08-04,single,True
2023-03-11,1,2LBqCSwhJGcFQeTHMVGwy3,0.586,0.525,1.0,-7.163,0.0,0.0615,0.111,0.0,0.134,0.508,133.629,4.0,Die For You,260253,2016-11-24,album,False
2000-06-24,1,2N4viTG9njqCa4c46YyWs1,0.683,0.866,1.0,-5.436,0.0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,4.0,Be With You,219360,1999-01-01,album,False
2000-07-01,1,2N4viTG9njqCa4c46YyWs1,0.683,0.866,1.0,-5.436,0.0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,4.0,Be With You,219360,1999-01-01,album,False
2000-07-08,1,2N4viTG9njqCa4c46YyWs1,0.683,0.866,1.0,-5.436,0.0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,4.0,Be With You,219360,1999-01-01,album,False
2004-08-21,1,2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,1.0,-3.344,1.0,0.415,0.11,0.0,0.0746,0.695,95.321,4.0,Lean Back,247426,2004-07-15,album,True
2004-08-28,1,2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,1.0,-3.344,1.0,0.415,0.11,0.0,0.0746,0.695,95.321,4.0,Lean Back,247426,2004-07-15,album,True
2004-09-04,1,2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,1.0,-3.344,1.0,0.415,0.11,0.0,0.0746,0.695,95.321,4.0,Lean Back,247426,2004-07-15,album,True
2024-05-04,1,2OzhQlSqBEmt7hmkYxfT6m,0.504,0.386,11.0,-10.976,1.0,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4.0,Fortnight (feat. Post Malone),228965,2024-04-18,album,False
2024-05-11,1,2OzhQlSqBEmt7hmkYxfT6m,0.504,0.386,11.0,-10.976,1.0,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,4.0,Fortnight (feat. Post Malone),228965,2024-04-18,album,False
2003-12-13,1,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4.0,-2.261,0.0,0.0664,0.103,0.000532,0.174,0.965,79.526,4.0,Hey Ya!,235213,2003,album,False
